user_a,user_b,rssi,#timestamp
Kazuki Yamamoto,-1,0,2390700
Igor Sidorov,Mubarak Achebe,-78,2109300
Sana Khan,-1,0,599400
Alexander Hill,-1,0,643800
Malik Akoto,Brooklyn Peterson,-79,2039700
David Rogers,-1,-91,1881600
Savannah Coleman,-1,0,800100
Mateo Costa,-1,0,225600
Lucas Escobar,Martina Ramos,-92,1950900
Zainab Fall,Nathan Brooks,-94,2031300
Nisha Shah,-1,0,1909500
Abdi Omar,Yasmin Al-Ahmad,-93,32400
Hamza Saad,-1,0,625500
Naledi Khumalo,Yuki Nakamura,-69,138600
Oluwaseun Oladipo,Benjamin Brooks,-77,1685400
Ibrahim Fawzi,Isaac Hayes,-80,2154900
Gabriel Rocha,Savannah Cox,-99,2118900
Ahmed Nasser,-1,-92,2337600
Halima Toure,Safiya Dlamini,-50,293700
Min-jun Lee,-1,0,546300
Madison Peterson,Samuel Lee,-94,696300
Isabella Rodrigues,-1,-100,480900
Safiya Kamau,-1,0,1407900
Ellie Price,-1,-95,436200
Ryota Nakamura,-1,0,2394300
Chloe Parker,-1,0,1145700
Juan Pablo Guerra,James Foster,-93,902400
Matthew Hayes,-1,0,1574400
Diego Castro,Penelope Griffin,-94,1425000
Salma Al-Jaber,Madison Rivera,-87,1081500
Jelani Mansour,-1,0,632100
Ekaterina Ivanova,-1,0,2263800
Zikomo Banda,Zahra Mansour,-89,2021100
Min-jung Kim,-1,0,1010700
Samuel Perry,-1,0,2145900
Raziya Abubakar,-1,-89,2236800
Ayodele Ogundele,-1,-78,1503600
Ellie Foster,-1,0,1247700
Emiliano Cabrera,-1,0,445500
Hamza Saad,-1,0,1823400
Scarlett Murphy,-1,0,336000
Caleb Simmons,-1,0,835500
Fatima Al-Ahmadi,-1,-97,170100
Noor Al-Badawi,-1,-82,1970400
Madison Peterson,-1,0,731400
Diop Sarr,Victoria Lima,-91,916500
Valentina Escobar,Nia Sow,-91,1327200
Fatima Hamza,Amina Juma,-97,706800
Joseph Cox,-1,-83,1275600
Gabriel Rocha,-1,0,669600
Ji-hye Park,-1,0,1813800
Anna Kuznetsova,Fatima Al-Said,-95,1671900
Ji-hye Park,-1,0,1100100
James Walker,-1,0,1994700
Harper Ward,-1,0,868800
Zhang Wei,-1,-93,174900
Sofia Ribeiro,Christopher Davis,-94,980100
Asha Osei,-1,0,1284900
Tariq Al-Saadi,-1,-79,629400
Emilia Pereira,Daniel Turner,-83,2166000
Jelani Mansour,-1,0,1422900
Santiago Castro,Noor Al-Badawi,-98,306900
Owen Edwards,-1,-78,508800
Nala Bah,Jomo Bah,-90,2287200
Joseph Kelly,-1,0,327000
Elena Orlova,-1,0,660000
Amina Ali,-1,-80,1098900
Ethan Baker,-1,0,1635900
Ahmed Nasser,-1,0,1806300
Hadi Al-Jaber,Chloe Parker,-93,746700
Yulia Antonova,Valentina Torres,-73,1254000
Santiago Almeida,Olivia Mendez,-82,225300
Caleb Wood,-1,-79,2121300
Tendai Nyathi,Eli Ramirez,-83,2126100
Tariq Asante,Nala Kone,-88,908400
Yui Sato,-1,-79,1279800
Ayomide Ojo,-1,0,942300
Elizabeth Powell,-1,-92,951000
Camila Lima,-1,0,501000
Isaac Rogers,-1,0,1822800
Thiago Herrera,Fatima Hamza,-79,1938900
Elena Orlova,-1,0,2080500
Nala Bah,-1,0,701700
Sebastian Foster,Liam Thompson,-67,1832400
Kofi Akoto,-1,0,2004300
Martina Oliveira,Uzoma Okeke,-94,1590000
Daniel Parker,-1,0,1935300
Malik El-Din,-1,0,1174200
Zara Al-Masri,-1,0,486000
Nicolas Ribeiro,-1,0,1456200
Amira Kebede,-1,0,1831500
Zoey Hall,-1,0,1877400
Mojalefa Modise,Tariq Mansour,-74,230100
Karan Kapoor,-1,-67,2303100
Pedro Gomes,Christopher Foster,-77,2112000
Karan Kapoor,-1,0,1157400
Scarlett Hall,-1,0,330300
Bilal Farah,-1,-87,1451400
Ayako Tanaka,Sakura Tanaka,-79,1509300
Layla Al-Aziz,Dalia Mensah,-89,2193300
Oksana Antonova,-1,-99,2357700
Emma Harris,-1,-93,685800
Antonella Rodrigues,-1,0,1871400
Ayanda Ndlovu,-1,0,10200
Adedeji Adeyemi,Safiya Diop,-71,1512300
Stella King,-1,-77,598200
Hasan Al-Masri,Zoey Griffin,-76,825900
Nicolas Ribeiro,Rajan Patel,-96,43500
Alexey Smirnov,-1,-72,591900
Matthew Bell,-1,0,1469700
Christopher Collins,Carter James,-78,1082100
Zhang Li,-1,-88,417900
Zainab Nkosi,-1,0,644400
Martina Ramos,Emily Bell,-90,1606500
Nikolai Sidorov,-1,0,1170300
Abdullah Fawzi,Sophia Brown,-84,466200
Victoria Parker,-1,0,2261100
Lumka Ntuli,Christian Carter,-83,892800
Sergei Ponomarev,-1,0,2340900
Leonardo Cordero,-1,0,1171800
Joshua Wright,-1,0,967500
Aleksei Sokolov,Olga Kuznetsova,-78,2114400
Jack Mitchell,-1,0,1659300
Skylar Long,-1,0,957300
Ayesha Touré,-1,0,1374300
Asha Kamau,-1,-72,1410600
Benjamin Pacheco,-1,-95,279000
Sophia Cooper,-1,0,2194800
Fatima Al-Said,-1,0,880500
Min-jun Lee,David Ross,-88,2288400
Aria Peterson,-1,0,1446900
Zuri Okoro,Christopher Price,-70,2400900
Zahara Mwangi,-1,0,1842600
Hadi Al-Jaber,Safiya Dlamini,-66,390600
Noor Al-Hakim,-1,0,615900
Ahmed Al-Rashidi,Ravi Sharma,-88,1153800
Jabari Toure,-1,0,2132100
Abdullah Karim,-1,0,58800
Maya Mitchell,-1,0,1822800
Rajesh Gupta,-1,0,657600
Andrei Sokolov,Valentina Torres,-86,1956600
Nala Kone,Lily Turner,-94,1069200
Yui Sato,-1,0,4500
Oluwaseun Oladipo,-1,0,1362000
Lumka Ntuli,Maya Mitchell,-86,1069800
Rohan Gupta,-1,-89,504300
Paisley Phillips,-1,-79,1721100
Lucas Herrera,Daniel Turner,-70,2062200
Emma Fernandes,Rajesh Sharma,-90,2107200
Aisha Al-Mahdi,Zuri Kamara,-77,478800
Oluwaseun Oladipo,Samuel Coleman,-86,919500
Fatima Sarr,Benjamin Taylor,-92,747600
Marina Popova,-1,0,2356800
Aarav Gupta,Michael Cooper,-98,2116500
Nia Nkosi,-1,-83,1371300
Salma Al-Salim,-1,-55,1880100
Jamila Moyo,Madison Bailey,-93,1434000
Mariam Al-Rizk,Zuri Kamara,-86,1034100
Gabriel Alvarez,-1,0,366600
Benjamin Brooks,-1,-88,828300
Ji-yeon Park,-1,0,1210500
Raziya Abubakar,-1,0,26100
Fatima Abiola,-1,0,798000
Sebastian Paz,Fatima Al-Said,-97,771300
Isaac Mitchell,-1,-94,1448700
Zara Al-Masri,-1,0,682500
Idris Adekunle,Stella King,-88,2016600
Amadi Nwosu,Alexander Reed,-69,216000
Igor Sidorov,Khaled Al-Hakim,-94,901500
Imani Eze,Madison Rivera,-76,1947300
Amina Abiola,-1,0,378900
Scarlett Collins,-1,-92,200700
James Foster,-1,-75,1597800
Abdullah Fawzi,-1,-95,2058600
Aisha Jallow,-1,0,1783200
Ravi Gupta,-1,-96,333900
Uzoma Okeke,Ellie Parker,-92,1155600
Ayako Tanaka,-1,-92,2061300
Jack Morris,-1,0,41400
Rajesh Sharma,-1,0,843300
Jin Chen,-1,0,1971000
Addison Watson,-1,0,2152800
Emma Harris,-1,0,864300
Pavel Egorov,-1,0,110700
Victoria Rocha,Aarav Patel,-90,688800
Aisha Rahman,-1,-96,1259100
Yelena Voronina,-1,0,2120100
Dominic Hernandez,Lucy Ramirez,-94,130500
Michael Cooper,-1,0,2271000
Zahra Osei,-1,0,2179800
Ekaterina Volkova,-1,-90,318000
Jabiru Moyo,-1,0,312300
Naledi Khumalo,-1,0,6000
Kazuki Yamamoto,-1,0,69300
Juan Pablo Guerra,Rajan Patel,-84,919500
Ayako Tanaka,-1,0,250800
Nikolai Sidorov,-1,0,576600
Maya Mitchell,-1,0,1485300
Khaled Al-Najjar,-1,-89,1965000
Lucas Herrera,Dominic Hernandez,-87,1337400
Nour Al-Saeed,-1,0,1433700
Kato Soumahoro,-1,0,1570500
Nisha Shah,-1,0,1632300
Amir Khalifa,Aisha Rahman,-78,1027200
Yui Sato,Benjamin Taylor,-89,223200
Akira Tanaka,-1,-75,1374900
Yuri Romanov,Elizabeth Bennett,-62,210000
Safiya Dlamini,-1,0,1650300
Sofia Soares,Joseph Cox,-80,154500
Gabriel Marques,Sana Wang,-88,2210100
Ava Wright,-1,0,2225100
Gabriel Rocha,Aisha Al-Mahdi,-92,909600
Valeria Ramos,Priya Singh,-100,1064400
Brooklyn Patterson,-1,-82,490800
Karan Gupta,-1,0,1559100
Aisha Jallow,Sakura Suzuki,-97,828600
Mei Nakamura,-1,-91,534000
Leila Mahmoud,Kofi Sankara,-87,894900
Fatimah Mbeki,-1,0,785100
Martin Ferreira,-1,0,74100
Nada Al-Khalidi,-1,0,378900
Olga Smirnova,-1,-90,1218600
Isabella Barbosa,-1,0,2082600
Mateo Costa,-1,-96,684900
Eleanor Sanchez,William Cox,-72,789000
Pavel Egorov,-1,0,2156100
Oluwaseun Oladipo,-1,-92,894600
Aleksandr Petrov,-1,0,2050200
Malik Akoto,-1,0,661200
Samuel Perry,-1,0,311700
Safiya Kamau,-1,0,1762800
Irina Morozova,-1,-89,2028900
Lily Morris,-1,0,1631400
Chipo Moyo,Valeria Correa,-87,902100
Sergey Kozlov,-1,0,159600
Youssef Al-Mansoori,Tariq Al-Saadi,-83,1421700
Igor Sidorov,Levi Russell,-72,291600
Lucas Rios,-1,0,327900
Fatima Nkrumah,Zoey Hall,-94,1617300
Ji-yeon Park,-1,0,724500
Sakura Suzuki,-1,0,1855800
Agustina Duarte,-1,0,1319100
Tatiana Ivanova,Yulia Antonova,-86,2194500
Oluwaseun Oladipo,Priya Patel,-50,1430700
Satoshi Tanaka,-1,-91,252300
Amelia Castro,-1,-75,1124100
Paisley Phillips,Leah Watson,-92,2297400
Harper Nelson,-1,-57,734700
Musa Kamau,Tariq Al-Rashid,-82,2121300
Matias Pacheco,-1,-90,1157400
Ibrahim Al-Abbasi,Tetsuya Ono,-94,910500
Aisha Hakim,Ayomide Kamau,-90,1602000
Yana Orlova,-1,-68,1187100
Olivia Smith,-1,0,767700
Isaac Hayes,-1,0,1369800
Zara Akintola,Nia Nkosi,-55,1686600
Naledi Khumalo,Rima Hassan,-92,1679400
Adrian Washington,Zoey Griffin,-92,737700
Emily Bell,-1,0,1024500
Aliya Al-Saadi,Matthew Adams,-88,1000800
Chen Li,-1,0,209400
Sakura Tanaka,-1,0,194700
Joaquin Pereira,-1,0,1553700
Sana Wang,Amelia Murphy,-60,2034900
Chen Wang,-1,0,614400
Pavel Egorov,Aisha Al-Mahdi,-96,2223300
Adebisi Adeleke,-1,0,2291700
Svetlana Volkova,Obi Eze,-80,468600
Santiago Marques,Asha Kebede,-89,1958700
Elizabeth Moore,Gabriel Wright,-93,220200
Lucas Almeida,-1,0,1467900
Satoshi Tanaka,Nathan Stewart,-96,1497000
Ayodele Balogun,Naledi Khumalo,-83,735300
Zainab Touré,-1,-75,830400
Savannah Cox,-1,-70,1891200
Sofia Costa,Luna Howard,-98,208500
Jelani Nyathi,Aisha Keita,-80,320100
Tunde Kamara,-1,0,1836000
Camila Almeida,-1,0,2250600
Gabriel Rocha,Rashid Mahmoud,-88,1950000
Sophia Cooper,-1,-76,2067300
Camila Cardoso,-1,0,1369200
Aleksandr Gusev,Matthew Adams,-68,2212200
Emiliano Costa,-1,0,1193400
Mei Wang,-1,-40,1453200
Halima Toure,Fatima Nkrumah,-96,1434600
Anatoli Sokolov,Amir Khalifa,-89,211500
Camila Cardoso,Iniko Nkrumah,-81,1004100
Zara Al-Ali,-1,0,24600
Layla Al-Farsi,Skylar Long,-91,461700
Skylar Long,-1,-73,2116500
Kwame Osagie,Zoey Griffin,-81,987600
Sebastian Herrera,-1,0,2037300
Emily Bell,-1,0,2363400
Yara Ndlovu,Zoey Hall,-96,756900
Kazuki Suzuki,-1,0,694800
Amelia Andrade,-1,0,938100
Ananya Das,-1,-88,34800
Anna Romanova,-1,0,2013000
Marina Kovalenko,Addison Gonzalez,-72,1757400
Adedeji Adeyemi,Aleksandr Popov,-88,1047000
Arisa Sato,Adam Wilson,-79,2024400
Ahmed Al-Rashidi,-1,0,1770900
Pedro Gomes,Zara Al-Masri,-92,2201100
Ignacio Silva,-1,0,1666500
Rashid Mahmoud,-1,0,513300
Pavel Egorov,Rajesh Sharma,-95,297900
Olga Kuznetsova,Sara Hassan,-70,2200500
Yara Ndlovu,Daniel Turner,-93,1113600
Dominic Hernandez,Lucy Ramirez,-83,465600
Chika Akintola,Samuel Lee,-88,384900
Karim Nassar,-1,0,1764900
Zoey Morgan,-1,0,2330100
Tatiana Voronina,Sebastian Paz,-89,1435800
Sofia Ribeiro,Christopher Davis,-94,1079400
Fatimah Mbeki,-1,0,1962300
Fahad Hassan,-1,0,1046400
Hadiya Mahmoud,-1,0,110700
Bilal Farah,Noah Jenkins,-47,998400
Elena Castro,-1,-94,2323800
Omar Al-Haddad,Kofi Sankara,-84,2106300
Isabella Davis,-1,0,2343600
Kazuki Suzuki,Lily Turner,-73,470700
Christopher Collins,Christopher Price,-88,595500
Gabriel Gray,David Ross,-88,470700
Rajan Patel,Wyatt Roberts,-93,2131200
Ivan Smirnov,-1,-79,803400
Nia Keita,David Murphy,-94,2114700
Folasade Dosunmu,-1,0,1268400
Haruki Nakamura,Ethan Allen,-85,2028300
Lucy Ramirez,-1,0,112800
Rania Al-Akbar,Ellie Price,-98,402000
Ayesha Mensah,-1,0,434400
Mojalefa Modise,-1,0,168300
Lina Al-Saleh,Karim Nassar,-98,511800
Chukwuma Eze,-1,-84,2410500
Antonella Mendonça,Layla Al-Aziz,-95,982500
Martina Alvarez,-1,0,992400
Amina Ali,Skylar Long,-86,1418100
Savannah Cox,-1,0,1274700
Sofia Cook,-1,-76,1717800
Ryan Rogers,-1,0,515100
